Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
D300723.lib1.stats.tsv	48673934.0	0.0	48673934.0	1.0	24336967.0	24336967.0	45533228.0	45161556.0	3140706.0	41375396.0	48673934.0	0.0	431393.0	0.0	0.0	0.0	7210239658.0	3605284357.0	3604955301.0	6745120315.0	6745120315.0	0.0	0.0	21841339.0	0.003238095	148.0	148.0	148.0	150.0	150.0	150.0	39.4	282.5	109.3	21278315.0	837451.0	2851.0	462161.0	85.0	93.54745807067906	92.78386250842186	6.452541929320938	85.00524325812661	100.0	0.0	0.8862916237672509	0.0
D300724.lib1.stats.tsv	23959490.0	0.0	23959490.0	1.0	11979745.0	11979745.0	21298966.0	20920102.0	2660524.0	18672112.0	23959490.0	0.0	355994.0	0.0	0.0	0.0	3555559262.0	1777797969.0	1777761293.0	3160806113.0	3160806113.0	0.0	0.0	13858497.0	0.004384482	148.0	148.0	148.0	150.0	150.0	150.0	39.4	291.2	112.5	9771859.0	338249.0	1174.0	348769.0	77.9	88.89574026826114	87.31447121787652	11.104259731738864	77.93200940420685	100.0	0.0	1.4858162673746396	0.0
D300725.lib1.stats.tsv	17451474.0	0.0	17451474.0	1.0	8725737.0	8725737.0	16443298.0	16262360.0	1008176.0	14800900.0	17451474.0	0.0	126321.0	0.0	0.0	0.0	2586526787.0	1293281204.0	1293245583.0	2437142563.0	2437142563.0	0.0	0.0	7153994.0	0.002935402	148.0	148.0	148.0	150.0	150.0	150.0	39.4	288.4	112.7	7677247.0	290015.0	1964.0	161954.0	84.8	94.22297509081467	93.18616868695446	5.777024909185322	84.81174713379511	100.0	0.0	0.7238414359726864	0.0
D300726.lib1.stats.tsv	29850758.0	0.0	29850758.0	1.0	14925379.0	14925379.0	27084731.0	26725118.0	2766027.0	24143394.0	29850758.0	0.0	396039.0	0.0	0.0	0.0	4421521297.0	2210799316.0	2210721981.0	4011743805.0	4011743805.0	0.0	0.0	16843225.0	0.004198479	148.0	148.0	148.0	150.0	150.0	150.0	39.4	282.7	109.7	12412908.0	496722.0	1491.0	451438.0	80.9	90.73381319161142	89.52911011505972	9.266186808388584	80.88033811402711	100.0	0.0	1.3267301285950595	0.0
D300727.lib1.stats.tsv	25375958.0	0.0	25375958.0	1.0	12687979.0	12687979.0	22529212.0	22193392.0	2846746.0	20256134.0	25375958.0	0.0	371532.0	0.0	0.0	0.0	3757120403.0	1878589776.0	1878530627.0	3336279515.0	3336279515.0	0.0	0.0	14466801.0	0.004336208	148.0	148.0	148.0	150.0	150.0	150.0	39.4	279.6	106.9	10346496.0	419883.0	1157.0	329160.0	79.8	88.78172008323784	87.45834147424108	11.218279916762157	79.82411540876605	100.0	0.0	1.4641102416704819	0.0
D300728.lib1.stats.tsv	408494.0	0.0	408494.0	1.0	204247.0	204247.0	176825.0	172364.0	231669.0	159496.0	408494.0	0.0	6394.0	0.0	0.0	0.0	59756915.0	29876196.0	29880719.0	26112130.0	26112130.0	0.0	0.0	194001.0	0.007429536	146.0	146.0	146.0	150.0	150.0	150.0	38.4	271.3	102.3	79980.0	3663.0	4.0	2535.0	39.0	43.28704950378708	42.194989400089106	56.71295049621292	39.04488193217036	100.0	0.0	1.565261668470039	0.0
D300729.lib1.stats.tsv	18430412.0	0.0	18430412.0	1.0	9215206.0	9215206.0	16132100.0	15799888.0	2298312.0	14745334.0	18430412.0	0.0	479545.0	0.0	0.0	0.0	2724563753.0	1362294757.0	1362268996.0	2384732838.0	2384732838.0	0.0	0.0	14610345.0	0.006126617	148.0	148.0	148.0	150.0	150.0	150.0	39.4	263.3	94.4	7262938.0	339847.0	244.0	296915.0	80.0	87.52978500968942	85.72726426300183	12.47021499031058	80.00544968826524	100.0	0.0	2.6019223010315775	0.0
D300730.lib1.stats.tsv	26156762.0	0.0	26156762.0	1.0	13078381.0	13078381.0	23075001.0	22687244.0	3081761.0	20357236.0	26156762.0	0.0	546583.0	0.0	0.0	0.0	3869318794.0	1934685712.0	1934633082.0	3413438274.0	3413438274.0	0.0	0.0	19078880.0	0.005589344	148.0	148.0	148.0	150.0	150.0	150.0	39.3	274.6	105.4	10357038.0	452076.0	358.0	534150.0	77.8	88.2181097186265	86.73567469857316	11.781890281373512	77.82781370262879	100.0	0.0	2.089643205837175	0.0
D300731.lib1.stats.tsv	24395658.0	0.0	24395658.0	1.0	12197829.0	12197829.0	21750957.0	21411496.0	2644701.0	19412648.0	24395658.0	0.0	537350.0	0.0	0.0	0.0	3611897242.0	1805989016.0	1805908226.0	3220304159.0	3220304159.0	0.0	0.0	18021862.0	0.005596323	148.0	148.0	148.0	150.0	150.0	150.0	39.4	271.2	100.8	9780848.0	415879.0	360.0	508661.0	79.6	89.15913233412273	87.76765111234138	10.840867665877264	79.57419307976853	100.0	0.0	2.202646061032664	0.0
D300732.lib1.stats.tsv	301248.0	0.0	301248.0	1.0	150624.0	150624.0	116537.0	114216.0	184711.0	104956.0	301248.0	0.0	2795.0	0.0	0.0	0.0	44101340.0	22048734.0	22052606.0	17252096.0	17252096.0	0.0	0.0	112263.0	0.00650721	146.0	146.0	146.0	150.0	150.0	150.0	38.0	276.8	104.6	53166.0	2236.0	0.0	1706.0	34.8	38.684738155937964	37.91427660930529	61.31526184406203	34.840397280645846	100.0	0.0	0.9278069895899724	0.0
